,Unnamed: 0,categories,contains_ads,downloads_and_revenue,has_iap,installs,most_popular_country,name,android,price,publisher_country,publisher_name,rating,rating_breakdown,rating_count,revenue,downloads,one_star,two_star,three_star,four_star,five_star,ios,one_star_1,three_star_3,four_star_4,five_star_5,two_star_2,overall_rating,categories_Action,categories_Adventure,categories_Arcade,categories_Board,categories_Card,categories_Casino,categories_Casual,categories_Other,categories_Puzzle,categories_Role Playing,categories_Simulation,categories_Sports,categories_Strategy,revenue_club,revenue_clubx10,log_revenue,Free_Pay
0,0,Adventure,0.0,"{'downloads': '< 5k', 'revenue': '$9k', 'revenueBreakdown': {'US': 0.3, 'AU': 0.04, 'CA': 0.08, 'FR': 0.03, 'DE': 0.04, 'GB': 0.1, 'JP': 0.05, 'ES': 0.02, 'HK': 0.02, 'NL': 0.05, 'SE': 0.02, 'CH': 0.05, 'TW': 0.05, 'Other': 0.14}, 'downloadBreakdown': {'US': 0.37, 'AU': 0.04, 'BR': 0.02, 'CA': 0.05, 'FR': 0.03, 'DE': 0.04, 'GB': 0.13, 'JP': 0.03, 'ES': 0.03, 'NL': 0.02, 'SE': 0.02, 'CH': 0.02, 'TW': 0.03, 'Other': 0.18}}",0,1000.0,US,KIDS,1.0,2.99,,Playables,3.7272727,"[17, 10, 8, 12, 52]",99.0,9000,5000,17,10,8,12,52,0.0,0.1717171717171717,0.24242424242424246,0.4848484848484849,2.6262626262626263,0.202020202020202,3.727272727272727,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,9.104979856318355,1
1,1,Casual,1.0,"{'downloads': '5m', 'revenue': '< $5k', 'revenueBreakdown': {}, 'downloadBreakdown': {'US': 0.05, 'BR': 0.13, 'FR': 0.01, 'DE': 0.02, 'MX': 0.07, 'IT': 0.01, 'RU': 0.07, 'AR': 0.03, 'CL': 0.01, 'CO': 0.02, 'IN': 0.04, 'ID': 0.11, 'KZ': 0.02, 'MY': 0.01, 'PE': 0.01, 'PH': 0.03, 'SA': 0.02, 'TH': 0.05, 'TR': 0.05, 'UA': 0.02, 'VN': 0.04, 'Other': 0.17}}",0,10000000.0,BR,Mini Block Craft,1.0,0.0,US,Build Block Studio,3.787631,"[21247, 4748, 6682, 8944, 58629]",100250.0,5000,5000000,21247,4748,6682,8944,58629,0.0,0.2119401496259352,0.19996009975062345,0.35686783042394016,2.924139650872818,0.09472319201995012,3.7876309226932654,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,8.517193191416238,0
2,2,Adventure,0.0,"{'downloads': '< 5k', 'revenue': '$10k', 'revenueBreakdown': {'US': 0.16, 'AU': 0.03, 'BR': 0.04, 'CA': 0.05, 'FR': 0.09, 'DE': 0.12, 'GB': 0.04, 'JP': 0.02, 'KR': 0.05, 'MX': 0.02, 'ES': 0.05, 'IT': 0.06, 'RU': 0.02, 'AT': 0.01, 'BE': 0.02, 'NL': 0.02, 'SE': 0.03, 'CH': 0.03, 'TW': 0.03, 'TH': 0.02, 'Other': 0.08}, 'downloadBreakdown': {'US': 0.19, 'AU': 0.03, 'BR': 0.04, 'CA': 0.03, 'FR': 0.1, 'DE': 0.08, 'GB': 0.05, 'KR': 0.03, 'MX': 0.02, 'ES': 0.1, 'IT': 0.08, 'RU': 0.02, 'BE': 0.02, 'ID': 0.01, 'SE': 0.05, 'Other': 0.14}}",0,1000.0,US,Wonder Boy: The Dragon's Trap,1.0,9.99,France,Dotemu,4.4204082,"[15, 10, 14, 24, 182]",245.0,10000,5000,15,10,14,24,182,0.0,0.061224489795918366,0.17142857142857146,0.3918367346938775,3.7142857142857135,0.08163265306122447,4.420408163265306,0,1,0,0,0,0,0,0,0,0,0,0,0,2,100,9.210340371976184,1
3,3,Strategy,0.0,"{'downloads': '< 5k', 'revenue': '< $5k', 'revenueBreakdown': {'US': 0.28, 'AU': 0.02, 'BR': 0.02, 'CA': 0.04, 'FR': 0.06, 'DE': 0.06, 'GB': 0.04, 'JP': 0.12, 'MX': 0.02, 'ES': 0.02, 'IT': 0.02, 'RU': 0.04, 'NL': 0.01, 'PL': 0.02, 'CH': 0.01, 'TW': 0.05, 'TH': 0.02, 'Other': 0.15}, 'downloadBreakdown': {'US': 0.31, 'AU': 0.03, 'BR': 0.02, 'CA': 0.04, 'FR': 0.06, 'DE': 0.07, 'GB': 0.05, 'JP': 0.05, 'MX': 0.03, 'ES': 0.02, 'IT': 0.02, 'RU': 0.05, 'AT': 0.01, 'TW': 0.05, 'Other': 0.17}}",0,1000.0,US,Zombie Night Terror,1.0,7.99,France,Plug in Digital,4.376068599999999,"[10, 2, 7, 13, 85]",117.0,5000,5000,10,2,7,13,85,0.0,0.08547008547008547,0.1794871794871795,0.4444444444444444,3.632478632478633,0.034188034188034185,4.3760683760683765,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8.517193191416238,1
4,4,Role Playing,1.0,"{'downloads': '200k', 'revenue': '$500k', 'revenueBreakdown': {'US': 0.03, 'JP': 0.75, 'KR': 0.12, 'RU': 0.02, 'PH': 0.01, 'TH': 0.03, 'Other': 0.04}, 'downloadBreakdown': {'US': 0.05, 'BR': 0.02, 'FR': 0.02, 'DE': 0.02, 'JP': 0.11, 'KR': 0.07, 'RU': 0.14, 'IN': 0.02, 'ID': 0.11, 'MY': 0.02, 'PH': 0.08, 'TH': 0.18, 'UA': 0.02, 'VN': 0.03, 'Other': 0.11}}",1,1000000.0,TH,TALION,1.0,0.0,South Korea,GAMEVIL,4.1141286,"[7374, 2201, 4252, 8637, 37635]",60099.0,500000,200000,7374,2201,4252,8637,37635,0.0,0.12269754904407727,0.21224978785004744,0.5748514950331952,3.1310837118754056,0.07324581107838732,4.114128354881113,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1000,13.122363377404328,0
5,5,Strategy,0.0,"{'downloads': '< 5k', 'revenue': '$7k', 'revenueBreakdown': {'US': 0.23, 'AU': 0.04, 'CA': 0.04, 'FR': 0.07, 'DE': 0.08, 'GB': 0.12, 'JP': 0.03, 'KR': 0.03, 'ES': 0.03, 'IT': 0.03, 'RU': 0.04, 'AT': 0.02, 'BE': 0.02, 'NL': 0.02, 'NO': 0.02, 'PL': 0.02, 'SE': 0.02, 'CH': 0.02, 'TW': 0.02, 'Other': 0.12}, 'downloadBreakdown': {'US': 0.22, 'AU': 0.03, 'BR': 0.02, 'CA': 0.04, 'FR': 0.05, 'DE': 0.07, 'GB': 0.11, 'JP': 0.01, 'KR': 0.02, 'ES': 0.05, 'IT': 0.03, 'RU': 0.06, 'AT': 0.02, 'BE': 0.02, 'CZ': 0.01, 'ID': 0.02, 'PL': 0.02, 'SE': 0.02, 'Other': 0.2}}",1,10000.0,US,Warhammer Quest 2: The End Times,1.0,4.99,Great Britain,Perchang,4.209697,"[65, 33, 63, 167, 497]",825.0,7000,5000,65,33,63,167,497,0.0,0.07878787878787878,0.2290909090909091,0.8096969696969697,3.0121212121212118,0.08,4.20969696969697,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8.853665428037447,1
6,6,Strategy,0.0,"{'downloads': '< 5k', 'revenue': '$9k', 'revenueBreakdown': {'US': 0.17, 'AU': 0.03, 'BR': 0.03, 'CA': 0.03, 'FR': 0.08, 'DE': 0.1, 'GB': 0.07, 'MX': 0.06, 'ES': 0.03, 'IT': 0.03, 'RU': 0.02, 'AT': 0.02, 'BE': 0.02, 'NL': 0.02, 'NO': 0.01, 'PL': 0.02, 'SE': 0.02, 'CH': 0.03, 'TH': 0.01, 'Other': 0.19}, 'downloadBreakdown': {'US': 0.2, 'AU': 0.03, 'BR': 0.03, 'CA': 0.03, 'FR': 0.08, 'DE': 0.12, 'GB': 0.08, 'MX': 0.06, 'ES': 0.03, 'IT': 0.04, 'RU': 0.02, 'AT': 0.03, 'BE': 0.02, 'NL': 0.03, 'PL': 0.02, 'SK': 0.02, 'SE': 0.01, 'CH': 0.02, 'Other': 0.13}}",1,100000.0,US,Worms 4,1.0,4.99,Great Britain,Team 17 Digital Limited,3.784794600000001,"[1608, 366, 585, 1114, 4403]",8076.0,9000,5000,1608,366,585,1114,4403,0.0,0.19910846953937592,0.2173105497771174,0.5517582961862308,2.725978207033185,0.09063893016344723,3.784794452699357,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9.104979856318355,1
7,7,Role Playing,0.0,"{'downloads': '800k', 'revenue': '$500k', 'revenueBreakdown': {'US': 0.24, 'BR': 0.02, 'FR': 0.03, 'DE': 0.03, 'RU': 0.02, 'HK': 0.04, 'ID': 0.1, 'MY': 0.02, 'TW': 0.09, 'TH': 0.28, 'Other': 0.14}, 'downloadBreakdown': {'US': 0.06, 'BR': 0.08, 'FR': 0.02, 'DE': 0.02, 'MX': 0.02, 'ES': 0.02, 'IT': 0.01, 'RU': 0.06, 'AR': 0.02, 'IN': 0.05, 'ID': 0.12, 'PH': 0.02, 'PL': 0.01, 'TW': 0.02, 'TH': 0.22, 'TR': 0.02, 'UA': 0.02, 'VN': 0.03, 'Other': 0.17}}",1,5000000.0,TH,Durango: Wild Lands,1.0,0.0,South Korea,NEXON Company,4.531494,"[13090, 4714, 11035, 30971, 195348]",255158.0,500000,800000,13090,4714,11035,30971,195348,0.0,0.05130154649276135,0.12974313954490946,0.4855187766011648,3.827981094067205,0.0369496547237398,4.531494211429783,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1000,13.122363377404328,0
8,8,Other,1.0,"{'downloads': '800k', 'revenue': '$20k', 'revenueBreakdown': {'US': 0.83, 'AU': 0.03, 'CA': 0.04, 'GB': 0.06, 'Other': 0.03}, 'downloadBreakdown': {'US': 0.23, 'CA': 0.02, 'GB': 0.05, 'IN': 0.38, 'MY': 0.02, 'NG': 0.02, 'PH': 0.2, 'ZA': 0.03, 'Other': 0.06}}",1,5000000.0,IN,Word Swipe,1.0,0.0,Hong Kong,Wordfun Games,4.833653,"[1416, 437, 1064, 4001, 71857]",78775.0,20000,800000,1416,437,1064,4001,71857,0.0,0.0179752459536655,0.04052046969216122,0.20316090130117426,4.560901301174231,0.011094890510948904,4.8336528086321815,0,0,0,0,0,0,0,1,0,0,0,0,0,2,100,9.903487552536127,0
9,9,Simulation,1.0,"{'downloads': '400k', 'revenue': '< $5k', 'revenueBreakdown': {'US': 0.56, 'AU': 0.04, 'CA': 0.06, 'FR': 0.02, 'DE': 0.04, 'GB': 0.13, 'ES': 0.02, 'NL': 0.02, 'NO': 0.02, 'SE': 0.02, 'Other': 0.07}, 'downloadBreakdown': {'US': 0.38, 'AU': 0.02, 'CA': 0.02, 'FR': 0.02, 'DE': 0.09, 'GB': 0.12, 'ES': 0.09, 'IN': 0.03, 'RO': 0.01, 'Other': 0.22}}",1,500000.0,US,Fit the Fat 3,1.0,0.0,Panama,"Five Bits, Inc.",3.1522415,"[712, 206, 239, 219, 877]",2253.0,5000,400000,712,206,239,219,877,0.0,0.316023080337328,0.3182423435419441,0.38881491344873503,1.946293830448291,0.18286728806036395,3.1522414558366623,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,8.517193191416238,0
